,date,NH3,NH4,HNO3,SO4,SO2,day.type,pressure,RH,temperature,SWD,pm10,pm25,CS
352,2017/09/18,0.104402475,0.017455558,0.052366674,0.015250273,0.297380321,Non,949.7125,88.15416666666665,4.033333333333333,18.63895833333333,5.99296187823911,5.99296187823911,0.0016689
353,2017/09/19,0.104402475,0.017455558,0.052366674,0.045750819,0.266879775,Non,955.5166666666668,86.47083333333335,-0.9291666666666667,28.016041666666666,2.34186053735567,2.34186053735567,0.002292
354,2017/09/20,0.087002063,0.017455558,0.034911116,0.038125682,0.259254639,Non,967.5291666666667,68.875,-1.6666666666666667,18.99025,3.64388146292131,3.64388146292131,0.0024767
355,2017/09/21,0.104402475,0.017455558,0.052366674,0.015250273,0.297380321,Non,965.5541666666667,83.87916666666666,1.0708333333333333,18.784000000000002,2.16467956278957,2.16467956278957,0.000704
356,2017/09/22,0.087002063,0.017455558,0.052366674,0.007625136,0.289755185,Non,957.0,87.37916666666666,0.7125,17.949333333333332,1.18272028389959,1.18272028389959,0.00122255
357,2017/09/23,0.121802888,0.017455558,0.052366674,0.007625136,0.266879775,Non,948.7166666666667,89.30416666666667,1.1041666666666667,8.997958333333333,1.89114820977257,1.89114820977257,0.00081845
358,2017/09/24,0.156603713,0.017455558,0.052366674,0.022875409,0.289755185,NPF,959.65,86.67916666666667,0.2625,22.945083333333333,1.12627730406607,1.12627730406607,0.00080155
359,2017/09/25,0.208804951,0.017455558,0.052366674,0.015250273,0.244004366,Non,959.5916666666667,90.94166666666666,5.054166666666666,7.005541666666667,3.1967060456207,3.1967060456207,0.0008486
360,2017/09/26,0.174004125,0.017455558,0.034911116,0.038125682,0.312630594,NPF,955.5458333333332,91.42916666666667,2.0416666666666665,10.277833333333334,3.69381215455623,3.69381215455623,0.0023485
361,2017/09/27,0.156603713,0.017455558,0.052366674,0.015250273,0.404132231,NPF,960.6750000000001,91.84166666666665,1.9000000000000001,10.15,2.30898923509813,2.30898923509813,0.0024174
362,2017/09/28,0.243605776,0.331655601,0.08727779,0.259254639,0.022875409,Non,964.1583333333333,92.27083333333333,5.575,3.316625,45.77659745783,45.77659745783,0.0296889
363,2017/09/29,0.261006188,0.192011137,0.052366674,0.228754093,0.335506003,Non,960.9333333333334,86.31666666666666,4.933333333333334,15.000666666666666,35.2076875612133,35.2076875612133,0.01736385
364,2017/09/30,0.974423103,0.331655601,0.08727779,0.244004366,0.144877592,Non,960.6625,88.76666666666667,6.704166666666667,7.2625416666666665,51.8748713625151,51.8748713625151,0.030787143979147856
365,2017/10/01,0.261006188,0.453844506,0.052366674,0.419382504,0.022875409,Non,960.0083333333333,63.520833333333336,8.391666666666667,16.66391666666667,57.7788346091944,57.7788346091944,0.03417346870659195
366,2017/10/02,0.261006188,0.314200043,0.052366674,0.305005458,0.045750819,Non,953.4791666666666,65.52083333333333,6.458333333333333,12.022916666666667,48.3423848398074,48.3423848398074,0.02876102254827069
367,2017/10/03,0.226205363,0.017455558,0.052366674,0.076251364,0.045750819,Non,942.5208333333334,83.69583333333334,0.7083333333333334,12.989583333333334,24.2530554388566,24.2530554388566,0.0140522
368,2017/10/04,0.087002063,0.08727779,0.052366674,0.152502729,0.022875409,Non,938.8583333333332,83.99166666666666,-1.9333333333333333,8.694374999999999,15.4737595090826,15.4737595090826,0.0094541
